1108020,1108,Lhoknga,5.4653142,95.2579968
1108021,1108,Leupung,5.392388,95.255257
1108030,1108,Indrapuri,5.4218918,95.4463322
1108031,1108,Kuta Cot Glie,5.3067731,95.4987565
1108040,1108,Seulimeum,5.4724418,95.624767
1108041,1108,Kota Jantho,5.1595324,95.6878736
1108042,1108,Lembah Seulawah,5.3882013,95.7089241
1108050,1108,Mesjid Raya,5.567565,95.509247
1108060,1108,Darussalam,5.5945451,95.4201377
1108061,1108,Baitussalam,5.6053001,95.38872
1108070,1108,Kuta Baro,5.5474232,95.4253757
1108080,1108,Montasik,5.465831,95.4227312
1108081,1108,Blang Bintang,5.5056119,95.4253757
1108090,1108,Ingin Jaya,5.5113567,95.3677844
1108091,1108,Krueng Barona Jaya,5.5505849,95.3651679
1108100,1108,Suka Makmur,5.401771,95.3625516
1108101,1108,Kuta Malaka,5.4276233,95.38872
1108102,1108,Simpang Tiga,5.4488701,95.3468563
1108110,1108,Darul Imarah,5.5013734,95.3154784
1108111,1108,Darul Kamal,5.4647637,95.3207069
1108120,1108,Peukan Bada,5.5333804,95.24233
1108130,1108,Pulo Aceh,5.6970368,95.0911062
1109010,1109,Geumpang,4.8238623,96.195132
1109011,1109,Mane,4.8867326,96.0891032
1109070,1109,Glumpang Tiga,5.2082329,96.0361574
1109071,1109,Glumpang Baro,5.2758281,96.0308654
1109080,1109,Mutiara,5.2867372,95.9779702
1109081,1109,Mutiara Timur,5.255443,95.9885456
1109090,1109,Tiro/Truseb,5.1777852,95.9621106
1109100,1109,Tangse,4.9914298,95.940971
1109111,1109,Keumala,5.2306075,95.8670405
1109112,1109,Titeue,5.2094331,95.9092754
1109120,1109,Sakti,5.2560466,95.9251211
1109130,1109,Mila,5.2876435,95.8828751
1109140,1109,Padang Tiji,5.3453369,95.8353837
1109150,1109,Delima,5.3394768,95.9039944
1109151,1109,Grong Grong,5.3707194,95.9039944
1109160,1109,Indrajaya,5.3183545,95.9356872
1109170,1109,Peukan Baro,5.3284568,95.9673967
1109180,1109,Kembang Tanjong,5.31218,96.0361574
1109190,1109,Simpang Tiga,5.3386609,95.9885456
1109200,1109,Kota Sigli,5.3847763,95.9602371
1109210,1109,Pidie,5.3704132,95.9356872
1109220,1109,Batee,5.417769,95.8881542
1109230,1109,Muara Tiga,5.5126065,95.7932008
1110010,1110,Samalanga,5.0804889,96.375799
1110011,1110,Simpang Mamplam,5.1007814,96.418385
1110020,1110,Pandrah,5.0591509,96.4396888
1110030,1110,Jeunieb,5.0794303,96.482318
1110031,1110,Peulimbang,5.0378188,96.5036433
1110040,1110,Peudada,5.0476301,96.5569882
1110050,1110,Juli,5.0463259,96.6851982
1110060,1110,Jeumpa,5.1605583,96.6531216
1110061,1110,Kota Juang,5.2065989,96.7119409
1110062,1110,Kuala,5.2272338,96.722641
1110070,1110,Jangka,5.242166,96.7815237
1110080,1110,Peusangan,5.2008992,96.7601057
1110081,1110,Peusangan Selatan,5.0558954,96.7601057
1110082,1110,Peusangan Siblah Krueng,5.0761383,96.8029489
1110090,1110,Makmur,5.1377969,96.8458204
1110100,1110,Ganda Pura,5.2202497,96.8887202
1110101,1110,Kuta Blang,5.2053351,96.8297403
1111010,1111,Sawang,5.0440905,96.8994495
1111020,1111,Nisam,5.1773651,97.0175879
1111021,1111,Nisam Antara,5.0331824,96.9531225
